name,global_batch_size,hparams step/best validation cross_entropy step,hparams step/best validation cross_entropy,hparams step/best validation acc step,hparams step/best validation acc,hparams epoch/best validation cross_entropy epoch,hparams epoch/best validation cross_entropy,hparams epoch/best validation acc epoch,hparams epoch/best validation acc
codist,64.0,18480.0,0.7963483333587646,18656.0,0.734175980091095,26.0,0.8018534779548645,36.0,0.7336783409118652
codistswa,64.0,18480.0,0.8108091354370117,19184.0,0.7306926846504211,29.0,0.8118884563446045,37.0,0.7306926250457764
sgd,64.0,6864.0,0.7740417718887329,12144.0,0.7507961988449097,10.0,0.8105791807174683,16.0,0.7450239062309265
swa,64.0,8272.0,0.7965748906135559,18304.0,0.7454219460487366,9.0,0.8139934539794922,26.0,0.7454219460487366
swadist,64.0,12144.0,0.7481533288955688,12144.0,0.7515923976898193,16.0,0.7547025680541992,18.0,0.7500995397567749
codist,128.0,8008.0,0.7510102987289429,9064.0,0.7507911324501038,27.0,0.7512656450271606,31.0,0.7485166192054749
codistswa,128.0,8008.0,0.7674051523208618,11616.0,0.7407041192054749,23.0,0.7708137035369873,33.0,0.7407041192054749
sgd,128.0,2904.0,0.8121716380119324,5720.0,0.7484177350997925,10.0,0.8305597305297852,14.0,0.7424841523170471
swa,128.0,3872.0,0.7572805881500244,5984.0,0.7632516026496887,11.0,0.7572805881500244,17.0,0.7632516026496887
swadist,128.0,5984.0,0.7229392528533936,5984.0,0.7552412748336792,17.0,0.7229392528533936,17.0,0.7552412748336792
codist,256.0,5280.0,0.7476334571838379,5632.0,0.7497069835662842,30.0,0.7476334571838379,32.0,0.7497069835662842
codistswa,256.0,4048.0,0.7381144762039185,4224.0,0.7508789300918579,23.0,0.7381144762039185,24.0,0.7508789300918579
sgd,256.0,1716.0,0.7941980957984924,2552.0,0.7548828125,11.0,0.7956621050834656,15.0,0.7503906488418579
swa,256.0,2112.0,0.7921814918518066,2992.0,0.754101574420929,12.0,0.7921814918518066,17.0,0.754101574420929
swadist,256.0,3872.0,0.7275494337081909,3564.0,0.7500976324081421,22.0,0.7275494337081909,22.0,0.75
codist,512.0,4356.0,0.7568987011909485,4070.0,0.7467888593673706,49.0,0.7575020790100098,48.0,0.7456284761428833
codistswa,512.0,4136.0,0.756372332572937,4312.0,0.7495576739311218,47.0,0.756372332572937,49.0,0.7495576739311218
sgd,512.0,1496.0,0.8078522086143494,2068.0,0.739453136920929,17.0,0.8078522086143494,24.0,0.7360983490943909
swa,512.0,1518.0,0.8057655692100525,2552.0,0.7436006665229797,18.0,0.8070825338363647,29.0,0.7436006665229797
swadist,512.0,4268.0,0.7770277261734009,4378.0,0.7395220994949341,48.0,0.7831200361251831,48.0,0.7382984757423401
codist,1024.0,2178.0,0.8411067724227905,2123.0,0.7147740125656128,50.0,0.8443515300750732,47.0,0.7144132852554321
codistswa,1024.0,2200.0,0.820945143699646,2200.0,0.7215262651443481,50.0,0.820945143699646,50.0,0.7215262651443481
sgd,1024.0,1364.0,0.883989155292511,1672.0,0.7174186706542969,31.0,0.883989155292511,38.0,0.7174186706542969
swa,1024.0,1408.0,0.8902486562728882,1540.0,0.7016183137893677,32.0,0.8902486562728882,35.0,0.7016183137893677
swadist,1024.0,2178.0,0.8539943099021912,2178.0,0.7139827609062195,50.0,0.8589776754379272,50.0,0.7121372222900391
codist,2048.0,1093.0,1.3696467876434326,1093.0,0.517601490020752,50.0,1.37394380569458,49.0,0.5140728950500488
codistswa,2048.0,1078.0,1.3625860214233398,1078.0,0.5166438817977905,49.0,1.3625860214233398,49.0,0.5166438817977905
sgd,2048.0,1071.0,1.151487946510315,1083.0,0.6064211130142212,49.0,1.1625677347183228,49.0,0.6005358099937439
swa,2048.0,1100.0,1.1907799243927002,1100.0,0.5840932726860046,50.0,1.1907799243927002,50.0,0.5840932726860046
swadist,2048.0,1078.0,1.4418339729309082,1078.0,0.48882222175598145,49.0,1.4418339729309082,49.0,0.48882222175598145
swadist,4096.0,536.0,1.3393793106079102,550.0,0.5387946367263794,49.0,1.3409981727600098,50.0,0.5387946367263794
